run_id,protocol,task_domain,sample_index,repetition,total_prompt_tokens,total_completion_tokens,total_tokens,total_latency_ms,total_messages,any_truncation,any_json_parse_error,completion_score,final_answer,provider,model
4eadadcf,RELAY_DEFAULT,MATH,0,0,417,100,517,3388.42,3,False,False,1.0,#### 18,deepseek,deepseek-v4-flash
bf29e2f4,RELAY_DEFAULT,MATH,0,1,374,57,431,2605.52,3,False,False,1.0,#### 18,deepseek,deepseek-v4-flash
288b2746,RELAY_DEFAULT,MATH,1,0,324,81,405,2892.8,3,False,False,1.0,#### 3,deepseek,deepseek-v4-flash
cc6edf32,RELAY_DEFAULT,MATH,1,1,295,59,354,3026.44,3,False,False,0.0,"The final answer is 1.

#### 1",deepseek,deepseek-v4-flash
5362c751,RELAY_DEFAULT,MATH,2,0,480,192,672,4045.9,3,False,False,1.0,#### 70000,deepseek,deepseek-v4-flash
bbeb5433,RELAY_DEFAULT,MATH,2,1,437,149,586,3993.1,3,False,False,1.0,#### 70000,deepseek,deepseek-v4-flash
c1a48a1c,RELAY_DEFAULT,MATH,3,0,355,96,451,3121.34,3,False,False,1.0,#### 540,deepseek,deepseek-v4-flash
a01abae2,RELAY_DEFAULT,MATH,3,1,362,103,465,3306.42,3,False,False,1.0,#### 540,deepseek,deepseek-v4-flash
bf6579c0,RELAY_DEFAULT,MATH,4,0,565,160,725,3780.14,3,False,False,1.0,#### 20,deepseek,deepseek-v4-flash
e30187f6,RELAY_DEFAULT,MATH,4,1,537,132,669,3374.14,3,False,False,1.0,#### 20,deepseek,deepseek-v4-flash
d97b1a41,RELAY_DEFAULT,READING,0,0,618,74,692,3012.86,3,False,False,1.0,The Denver Broncos.,deepseek,deepseek-v4-flash
de8150e6,RELAY_DEFAULT,READING,0,1,613,68,681,2984.88,3,False,False,1.0,Denver Broncos,deepseek,deepseek-v4-flash
b701960c,RELAY_DEFAULT,READING,1,0,630,85,715,3278.85,3,False,False,1.0,Carolina Panthers,deepseek,deepseek-v4-flash
709aed71,RELAY_DEFAULT,READING,1,1,608,63,671,3177.79,3,False,False,1.0,Carolina Panthers,deepseek,deepseek-v4-flash
2ffa2e9e,RELAY_DEFAULT,READING,2,0,609,77,686,3176.63,3,False,False,0.737,"Levi's Stadium in Santa Clara, California.",deepseek,deepseek-v4-flash
405767fc,RELAY_DEFAULT,READING,2,1,602,70,672,3080.15,3,False,False,0.737,"Levi's Stadium in Santa Clara, California.",deepseek,deepseek-v4-flash
9e812498,RELAY_DEFAULT,READING,3,0,613,74,687,2972.36,3,False,False,1.0,Denver Broncos,deepseek,deepseek-v4-flash
06f6dbd6,RELAY_DEFAULT,READING,3,1,612,73,685,3074.02,3,False,False,1.0,Denver Broncos,deepseek,deepseek-v4-flash
57d291f5,RELAY_DEFAULT,READING,4,0,620,65,685,2577.86,3,False,False,1.0,Gold,deepseek,deepseek-v4-flash
f025f9f9,RELAY_DEFAULT,READING,4,1,623,69,692,2862.15,3,False,False,1.0,Gold.,deepseek,deepseek-v4-flash
9654b33a,RELAY_DEFAULT,NEWS,0,0,783,462,1245,7071.25,3,False,False,0.469,"In March 2025, the Federal Reserve held the benchmark interest rate steady at 4.25%-4.50%, citing inflation at 2.8% (above the 2% target) and a strong labor market with unemployment at 3.9%. Chair Jer",deepseek,deepseek-v4-flash
269b0212,RELAY_DEFAULT,NEWS,0,1,627,286,913,5420.79,3,False,False,0.511,"The Federal Reserve held interest rates steady at a range of 4.25%–4.50%. Inflation stands at 2.8%, above the 2% target, while the unemployment rate is 3.9%. The Fed signaled two potential rate cuts l",deepseek,deepseek-v4-flash
8ce94020,RELAY_DEFAULT,NEWS,1,0,697,398,1095,6961.32,3,False,False,0.432,"Apple reported record Q1 FY2025 revenue of $124.3 billion, up 4% year-over-year. iPhone revenue reached $69.1 billion, while Services revenue hit a record $26.3 billion. Earnings per share (EPS) of $2",deepseek,deepseek-v4-flash
ba7c7a83,RELAY_DEFAULT,NEWS,1,1,606,322,928,6050.64,3,False,False,0.37,"**Final Summary of Apple's Q1 Financial Results:**

Apple reported record Q1 revenue of $124.3 billion, up 4% year-over-year. Key financial highlights include iPhone revenue of $69.1 billion and a rec",deepseek,deepseek-v4-flash
cb4c34b6,RELAY_DEFAULT,NEWS,2,0,716,407,1123,6513.83,3,False,False,0.433,"Tesla announced the Model Q, an affordable electric vehicle priced at $25,000 with a 280-mile range and 0-60 mph acceleration in 5.8 seconds. Production will begin at Gigafactory Texas in Q3 2025, tar",deepseek,deepseek-v4-flash
df60a84b,RELAY_DEFAULT,NEWS,2,1,617,310,927,5675.75,3,False,False,0.364,"The Model Q, priced at $25,000, is designed for mass-market adoption. It offers a range of 280 miles and accelerates from 0-60 mph in 5.8 seconds. Production will take place at Gigafactory Texas start",deepseek,deepseek-v4-flash
c31c5c3f,RELAY_DEFAULT,NEWS,3,0,740,441,1181,7375.03,3,False,False,0.45,"TSMC's Arizona fab is producing 4nm chips with a 90% yield rate. The global semiconductor shortage is easing, as lead times have dropped from 26 weeks to 14 weeks. TSMC's revenue grew 25% year-over-ye",deepseek,deepseek-v4-flash
1d2aa69d,RELAY_DEFAULT,NEWS,3,1,781,488,1269,7546.64,3,False,False,0.349,"**Final Synthesis:**

TSMC's Arizona fab is producing 4nm chips with a 90% yield rate. The company reported Q1 2025 revenue of $22.5 billion, representing 25% year-over-year growth, and has planned $4",deepseek,deepseek-v4-flash
ef3897d8,RELAY_DEFAULT,NEWS,4,0,554,269,823,5051.27,3,False,False,0.38,"The AI Act is the world's first comprehensive AI law, officially enacted. It requires high-risk AI systems to undergo conformity assessments. Non-compliance can result in fines of up to 7% of global r",deepseek,deepseek-v4-flash
dce684d4,RELAY_DEFAULT,NEWS,4,1,605,316,921,5722.04,3,False,False,0.334,"The EU has enacted the AI Act, the world's first comprehensive AI law, affecting all companies serving EU citizens. High-risk AI systems must undergo conformity assessments, while social scoring and r",deepseek,deepseek-v4-flash
