run_id,protocol,task_domain,sample_index,repetition,total_prompt_tokens,total_completion_tokens,total_tokens,total_latency_ms,total_messages,any_truncation,any_json_parse_error,completion_score,final_answer
aa0a59dc,SHARED_MEMORY_JSON,MATH,0,0,1054,250,1304,6369.99,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""Janet's total daily earnings from selling eggs at the farmers' market."",
    ""amount"": 18
  }
}"
5b7aee65,SHARED_MEMORY_JSON,MATH,0,1,1035,242,1277,5333.81,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""Janet's daily earnings from selling eggs at the farmers' market."",
    ""amount"": 18
  },
  ""formatted_answer"": ""#### 18""
}"
31134dcb,SHARED_MEMORY_JSON,MATH,0,2,1050,241,1291,5527.99,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""Total earnings from selling eggs at the farmers' market."",
    ""amount"": 18
  }
}"
afd4f5a7,SHARED_MEMORY_JSON,MATH,1,0,1062,344,1406,7249.71,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""The total number of bolts needed for the robe, combining both blue and white fiber."",
    ""total_bolts"": 3
  }
}"
d789a0ab,SHARED_MEMORY_JSON,MATH,1,1,1046,328,1374,8573.87,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""The total number of bolts required for the robe, combining both blue and white fiber."",
    ""value"": 3
  }
}"
b15f0df1,SHARED_MEMORY_JSON,MATH,1,2,1065,343,1408,7764.66,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""The total number of bolts needed for the robe, combining both blue and white fiber."",
    ""value"": 3
  }
}"
29e29b8a,SHARED_MEMORY_JSON,MATH,2,0,894,189,1083,4684.88,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""Josh's profit from flipping the house after considering his total investment and the increased value of the house."",
    ""profit"": 70000
  },
  ""formatted_ans"
dacbca01,SHARED_MEMORY_JSON,MATH,2,1,1099,250,1349,6826.67,3,False,False,1.0,"{
  ""final_answer"": {
    ""profit"": 70000,
    ""formatted_answer"": ""#### 70000""
  }
}"
965a2248,SHARED_MEMORY_JSON,MATH,2,2,1003,209,1212,5668.07,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""The profit made by Josh after flipping the house."",
    ""value"": 70000
  }
}"
631757ef,SHARED_MEMORY_JSON,MATH,3,0,1133,341,1474,7068.42,3,False,False,1.0,"{
  ""final_answer"": 540,
  ""explanation"": {
    ""total_distance_one_sprint"": 180,
    ""total_distance_one_week"": 540,
    ""weekly_total"": 540
  }
}"
5455b568,SHARED_MEMORY_JSON,MATH,3,1,1009,292,1301,6864.96,3,False,False,1.0,"{
  ""final_answer"": 540,
  ""explanation"": {
    ""sprint_distance"": 180,
    ""weekly_distance"": 540,
    ""steps"": [
      ""James runs 60 meters per sprint and completes 3 sprints, totaling 180 meters i"
e7464da5,SHARED_MEMORY_JSON,MATH,3,2,1001,227,1228,5231.73,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""Total meters James runs in a week"",
    ""value"": 540
  }
}"
89e4946e,SHARED_MEMORY_JSON,MATH,4,0,1279,282,1561,5825.55,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""The amount of feed needed for the final meal of the day for Wendi's chickens."",
    ""value"": 20
  },
  ""formatted_answer"": ""#### 20""
}"
5323a85d,SHARED_MEMORY_JSON,MATH,4,1,1269,278,1547,7893.77,3,False,False,1.0,"{
  ""final_answer"": {
    ""description"": ""The amount of feed Wendi needs to give her chickens in the final meal of the day."",
    ""value"": 20
  },
  ""formatted_answer"": ""#### 20""
}"
